payment_method,bank_country_code,account_name,account_number,swift_code,bsb,aba,status,response
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",200,{\"success\":\"Bank details saved\"}
\"LOCAL\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",200,{\"success\":\"Bank details saved\"}
\"\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"'payment_method' field required, the value should be either 'LOCAL' or 'SWIFT'\"}"
\"INCORRECT\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"'payment_method' field required, the value should be either 'LOCAL' or 'SWIFT'\"}"
\"SWIFT\",\"CN\",\"John Smith\",\"12345678\",\"ICBCCNBJ\",\"\",\"\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"AU\",\"John Smith\",\"123456\",\"ICBCAUBJ\",\"QWERTY\",\"\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"\",\"John Smith\",\"12345678\",\"ICBCCNBJ\",\"\",\"\",400,"{\"error\":\"'bank_country_code' is required, and should be one of 'US', 'AU', or 'CN'\"}"
\"SWIFT\",\"INCORRECT\",\"John Smith\",\"12345678\",\"ICBCCNBJ\",\"\",\"\",400,"{\"error\":\"'bank_country_code' is required, and should be one of 'US', 'AU', or 'CN'\"}"
\"SWIFT\",\"US\",\"abcdefghi9\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"US\",\"\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"'account_name' is required\"}"
\"SWIFT\",\"US\",\"a\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"Length of account_name should be between 2 and 10\"}"
\"SWIFT\",\"US\",\"abcdefghijk\",\"123\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"Length of account_name should be between 2 and 10\"}"
\"SWIFT\",\"US\",\"John Smith\",\"\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"'account_number' is required\"}"
\"SWIFT\",\"US\",\"John Smith\",\"A\",\"ICBCUSBJ\",\"\",\"11122233A\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"US\",\"John Smith\",\"A!345678901234567\",\"ICBCUSBJ\",\"\",\"11122233A\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"US\",\"John Smith\",\"A!3456789012345678\",\"ICBCUSBJ\",\"\",\"11122233A\",400,"{\"error\":\"Length of account_number should be between 1 and 17 when bank_country_code is 'US'\"}"
\"SWIFT\",\"CN\",\"John Smith\",\"A!cde678\",\"ICBCCNBJ\",\"\",\"\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"CN\",\"John Smith\",\"A!cde678901234567890\",\"ICBCCNBJ\",\"\",\"\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"CN\",\"John Smith\",\"A!cde67\",\"ICBCCNBJ\",\"\",\"\",400,"{\"error\":\"Length of account_number should be between 8 and 20 when bank_country_code is 'CN'\"}"
\"SWIFT\",\"CN\",\"John Smith\",\"A!cde6789012345678901\",\"ICBCCNBJ\",\"\",\"\",400,"{\"error\":\"Length of account_number should be between 8 and 20 when bank_country_code is 'CN'\"}"
\"SWIFT\",\"AU\",\"John Smith\",\"A!cde6\",\"ICBCAUBJ\",\"QWERTY\",\"\",200,{\"success\":\"Bank details saved\"}
